arm,ticker,month,events,daily_cap,constant_train_action,head_side_accuracy,constant_side_accuracy,mean_side_regret,median_side_regret,action_mae,action_rmse,chosen_score_return_spearman,exactly_one_side_positive_rate,both_sides_positive_rate,neither_side_positive_rate,head_mean_return,head_win_rate,head_profit_factor,constant_mean_return,constant_win_rate,constant_profit_factor,oracle_side_mean_return,oracle_side_win_rate,oracle_side_profit_factor
adapted,QQQ,202601,450,2,PUT,0.44,0.5066666666666667,0.518844496554594,0.1177117131665869,0.5919666093143083,0.7341431148998955,0.07656201388747946,0.6933333333333334,0.042222222222222223,0.2644444444444444,-0.16396206597413943,0.35333333333333333,0.570939748806474,-0.09218356685272547,0.3933333333333333,0.7337917991517281,0.35488243058045454,0.7355555555555555,4.150144699514553
adapted,QQQ,202602,301,2,PUT,0.4983388704318937,0.5448504983388704,0.363080673436314,1.0249476156687365e-08,0.5210065635845307,0.6602061168857615,0.1174893571456868,0.7209302325581395,0.03322259136212625,0.24584717607973422,-0.0709141170388119,0.4019933554817276,0.7774304443620779,-0.07917623672882164,0.39867109634551495,0.7433300145495029,0.2921665563975021,0.7541528239202658,3.472034017786688
adapted,QQQ,202603,425,2,CALL,0.5788235294117647,0.3811764705882353,0.40356558286968525,0.0,0.5854717915352314,0.7203973964878709,-0.03542665568742536,0.788235294117647,0.042352941176470586,0.16941176470588235,0.06716519800789666,0.5058823529411764,1.229802461734544,-0.2232415844730577,0.3388235294117647,0.4421278648407271,0.47073078087758197,0.8305882352941176,7.2085192837503325
adapted,QQQ,202604,435,2,CALL,0.5103448275862069,0.6068965517241379,0.524992081153734,0.0,0.596205115523724,0.7440137910162473,0.04894913868188193,0.7195402298850575,0.022988505747126436,0.2574712643678161,-0.13270528366849096,0.3586206896551724,0.6463704184279628,-0.05458101769734049,0.45977011494252873,0.8274921776766175,0.39228679748524303,0.7425287356321839,4.231050136592452
adapted,QQQ,202605,466,2,CALL,0.4892703862660944,0.5236051502145923,0.5007525565391248,0.0033447642889203877,0.6253918856505767,0.7701862157924939,-0.0683104090087364,0.8133047210300429,0.015021459227467811,0.17167381974248927,-0.054384513217279044,0.4313304721030043,0.8386868102910593,-0.11761165833060296,0.4313304721030043,0.6443786502521114,0.44636804332184576,0.8283261802575107,7.523035432815654
adapted,SPXW,202601,579,4,CALL,0.5094991364421416,0.4784110535405872,0.4500875062393772,0.0,0.6079990448122641,0.7786293068270976,0.015047813418047673,0.7081174438687392,0.02936096718480138,0.26252158894645944,-0.027942447426104695,0.4214162348877375,0.9194020242922992,-0.06581316192754613,0.39378238341968913,0.819699073167242,0.4221450588132726,0.7374784110535406,4.437276260748084
adapted,SPXW,202602,408,4,PUT,0.5833333333333334,0.49754901960784315,0.3980269333524349,0.0,0.5647867629961318,0.7274356557339315,-0.10275875387972395,0.7156862745098039,0.022058823529411766,0.2622549019607843,-0.03097987603948815,0.4681372549019608,0.9033335866736498,-0.11917430612611293,0.36519607843137253,0.6846354216147451,0.3670470573129467,0.7377450980392157,3.772027182353836
adapted,SPXW,202603,459,4,CALL,0.5446623093681917,0.4074074074074074,0.36908697437117,0.0,0.5790661574654203,0.7180366958435668,0.04310920337083476,0.6557734204793029,0.013071895424836602,0.3311546840958606,-0.04699063065856226,0.3790849673202614,0.8717755579341938,-0.24933552477090784,0.28104575163398693,0.4290200948136079,0.3220963437126077,0.6688453159041394,2.985064966608184
adapted,SPXW,202604,593,4,CALL,0.4957841483979764,0.5193929173693086,0.4673709108554446,1.059638132794305e-08,0.612266590288894,0.7652537365546142,-0.030214892879819773,0.6205733558178752,0.03541315345699832,0.3440134907251265,-0.06483807548416597,0.35581787521079256,0.8341840003061058,-0.07447269407920619,0.3844856661045531,0.8025138725857208,0.4025328353712787,0.6559865092748736,3.149511514364011
adapted,SPXW,202605,586,4,CALL,0.48464163822525597,0.4658703071672355,0.5238611059916932,0.005025076958863506,0.5979415383973541,0.7479445534320133,0.02561267814819327,0.6723549488054608,0.011945392491467578,0.31569965870307165,-0.15529521294524157,0.33447098976109213,0.6113538357088631,-0.15561507223919707,0.3310580204778157,0.6172033361512679,0.3685658930464516,0.6843003412969283,3.3149178319424237
