ticker,month,sessions,candidate_rows,active_rows,active_volume,valid_quote_rows,valid_quote_volume,quote_row_coverage,quote_volume_coverage,price_volume_coverage,signable_volume_coverage,greeks_subminute_rows,unmatched_active_rows,zero_count_active_rows,nonpositive_close_active_rows,nonpositive_close_active_volume
QQQ,202208,14,29,84168,7449692.0,78944,7321518.0,0.9379336564965307,0.9827947249362793,0.9981536149413962,0.9812929178817057,0,0,0,1508,13755.0
QQQ,202209,13,19,92813,7324073.0,88107,7217563.0,0.9492958960490449,0.9854575452756956,0.9959508868903956,0.9821233349257988,0,0,0,1863,29656.0
QQQ,202210,13,19,86029,7357416.0,80746,7241875.0,0.9385904753048391,0.9842959810890127,0.9968479422666872,0.9818577609312835,0,0,0,1874,23191.0
QQQ,202211,17,66,96652,8875442.0,90836,8731321.0,0.9398253528121508,0.9837618227914734,0.9974400148184169,0.9817914420487452,0,0,0,2026,22721.0
QQQ,202212,21,64,112565,9521496.0,105845,9359840.0,0.9403011593301648,0.9830219957031963,0.9990908991612243,0.9823703123962874,0,0,0,659,8656.0
QQQ,202301,20,48,104770,10382433.0,97870,10231412.0,0.9341414527059273,0.9854541801521859,1.0,0.9854541801521859,0,0,0,0,0.0
QQQ,202302,19,46,114637,10766930.0,107778,10603323.0,0.9401676596561319,0.9848046750559352,1.0,0.9848046750559352,0,0,0,0,0.0
QQQ,202303,23,51,138068,15610745.0,131153,15379105.0,0.9499159834284555,0.9851615025419991,1.0,0.9851615025419991,0,0,0,0,0.0
QQQ,202304,19,100,94791,12376159.0,88047,12199472.0,0.9288540051270691,0.9857235997048842,1.0,0.9857235997048842,0,0,0,0,0.0
QQQ,202305,22,97,114636,13712287.0,107796,13436670.0,0.940332879723647,0.9798999977173757,1.0,0.9798999977173757,0,0,0,0,0.0
QQQ,202306,21,89,121400,15296960.0,114360,15004220.0,0.9420098846787479,0.9808628642553815,0.9999984310608121,0.980862668137983,0,0,0,5,24.0
QQQ,202307,20,64,109735,14769156.0,103081,14510508.0,0.9393630108898711,0.9824872863418871,1.0,0.9824872863418871,0,0,0,0,0.0
QQQ,202308,23,74,146313,22434730.0,137348,22051468.0,0.9387272491166199,0.9829165762191031,0.9999999554262521,0.9829165316453552,0,0,0,1,1.0
QQQ,202309,20,92,115171,17775838.0,106597,17427973.0,0.9255541759644355,0.9804304584683996,1.0,0.9804304584683996,0,0,0,0,0.0
QQQ,202310,22,75,147912,24470417.0,137816,23869523.0,0.931743198658662,0.975444063744398,0.9997192119774665,0.9752076558401109,0,0,0,125,6871.0
QQQ,202311,21,70,113648,17873155.0,106583,17452181.0,0.937834365760946,0.976446575884336,1.0,0.976446575884336,0,0,0,0,0.0
QQQ,202312,20,81,109087,17221069.0,103621,16851009.0,0.9498932045064948,0.978511206243933,1.0,0.978511206243933,0,0,0,0,0.0
QQQ,202401,21,127,146539,20166310.0,137911,19821325.0,0.9411214761940507,0.9828930032316274,1.0,0.9828930032316274,0,0,0,0,0.0
QQQ,202402,20,100,127357,19930012.0,119888,19406801.0,0.9413538321411465,0.9737475822894638,1.0,0.9737475822894638,0,0,0,0,0.0
QQQ,202403,20,70,131804,19483781.0,124677,19004064.0,0.9459272859700768,0.9753786495547245,1.0,0.9753786495547245,0,0,0,0,0.0
QQQ,202404,22,112,164617,23227752.0,157375,22871632.0,0.9560069737633415,0.9846683398376218,1.0,0.9846683398376218,0,0,0,0,0.0
QQQ,202405,22,106,134459,17044082.0,126926,16758795.0,0.9439754869514126,0.9832618148633643,1.0,0.9832618148633643,0,0,0,0,0.0
QQQ,202406,19,64,126414,18913673.0,121289,18582113.0,0.9594586042685146,0.9824698248721969,1.0,0.9824698248721969,0,0,0,0,0.0
QQQ,202407,22,88,173791,24422833.0,166348,24116858.0,0.9571726959393755,0.987471764639262,1.0,0.987471764639262,0,0,0,0,0.0
QQQ,202408,22,67,206469,24781607.0,198478,24462086.0,0.9612968532806377,0.987106526223259,1.0,0.987106526223259,0,0,0,0,0.0
