ticker,year,feature,rows,missing_rate,zero_rate,distinct_values,minimum,maximum
QQQ,2022,local_signed_close_notional_ratio_w1m,197,0.0,0.06091370558375635,6,-1.0,1.0
QQQ,2022,local_quote_row_coverage_w1m,197,0.0,0.005076142131979695,2,0.0,1.0
QQQ,2022,local_quote_volume_coverage_w1m,197,0.0,0.005076142131979695,2,0.0,1.0
QQQ,2022,local_price_volume_coverage_w1m,197,0.0,0.005076142131979695,2,0.0,1.0
QQQ,2022,local_signable_volume_coverage_w1m,197,0.0,0.005076142131979695,2,0.0,1.0
QQQ,2022,local_count_volume_coverage_w1m,197,0.0,0.005076142131979695,2,0.0,1.0
QQQ,2022,role_break_pressure_w1m,197,0.0,0.06091370558375635,6,-1.0,1.0
QQQ,2022,surface_call_volume_w5m,197,0.0,0.0,193,680.0,21442.0
QQQ,2022,surface_call_count_w5m,197,0.0,0.0,177,118.0,1865.0
QQQ,2022,surface_call_close_notional_w5m,197,0.0,0.0,197,32061.0,4082940.0
QQQ,2022,surface_call_signed_volume_w5m,197,0.0,0.0,194,-14763.0,12675.0
QQQ,2022,surface_call_signed_count_w5m,197,0.0,0.005076142131979695,171,-1013.0,1130.0
QQQ,2022,surface_call_signed_close_notional_w5m,197,0.0,0.0,197,-3887089.0,1999559.0
QQQ,2022,surface_call_quote_row_coverage_w5m,197,0.0,0.0,136,0.7037037037037037,1.0
QQQ,2022,surface_call_quote_volume_coverage_w5m,197,0.0,0.0,183,0.5340043525571273,1.0
QQQ,2022,surface_call_price_volume_coverage_w5m,197,0.0,0.0,100,0.954337899543379,1.0
QQQ,2022,surface_call_signable_volume_coverage_w5m,197,0.0,0.0,188,0.5340043525571273,1.0
QQQ,2022,surface_call_count_volume_coverage_w5m,197,0.0,0.0,1,1.0,1.0
QQQ,2022,surface_put_volume_w5m,197,0.0,0.0,197,833.0,27371.0
QQQ,2022,surface_put_count_w5m,197,0.0,0.0,179,132.0,2365.0
QQQ,2022,surface_put_close_notional_w5m,197,0.0,0.0,197,45204.0,2316671.0
QQQ,2022,surface_put_signed_volume_w5m,197,0.0,0.0,196,-23630.0,20310.0
QQQ,2022,surface_put_signed_count_w5m,197,0.0,0.005076142131979695,184,-1115.0,2332.0
QQQ,2022,surface_put_signed_close_notional_w5m,197,0.0,0.0,197,-964680.0,2316443.0
