greeks_rows,greeks_parsed_rows,greeks_exact_minute_rows,greeks_subminute_rows,option_timestamp_fallback_used,ohlc_rows,greeks_required_window_minutes,ohlc_required_window_minutes,expected_required_window_minutes,option_market_close_minute,underlying_market_close_minute,last_scheduled_decision_minute,active_rows,active_volume,active_count,valid_quote_rows,valid_quote_volume,priced_active_rows,priced_active_volume,signable_rows,signable_volume,nonpositive_close_active_rows,nonpositive_close_active_volume,price_volume_coverage,signable_volume_coverage,quote_row_coverage,quote_volume_coverage,unmatched_active_rows,zero_count_active_rows,missing_count_active_rows,missing_count_active_volume,count_without_volume_rows,contiguous_quote_pairs,unchanged_contiguous_quote_pairs,unchanged_contiguous_quote_rate,underlying_rows,underlying_required_window_minutes,expected_underlying_required_window_minutes,underlying_timestamp_min,underlying_timestamp_max,underlying_min_research_tick_count,underlying_out_of_scope_invalid_rows,candidate_underlying_spot_max_bps,ticker,trade_date,candidate_rows,candidate_decisions
92276,92276,92276,0,False,48093,250,250,250,975,960,870,5598,514275.0,61683.0,5315,509472.0,5534,513655.0,5265,509015.0,64,620.0,0.9987944193281805,0.9897720091390793,0.9494462307967131,0.9906606387633076,0,0,0,0.0,0,58764,27160,0.46218773398679464,391,390,390,2022-08-01 09:30:00,2022-08-01 16:00:00,60.0,0,0.0,QQQ,20220801,0,0
89148,89148,89148,0,False,50048,250,250,250,975,960,870,6264,610264.0,63404.0,5898,603692.0,6169,609475.0,5820,603234.0,95,789.0,0.9987071169198904,0.9884803953698728,0.9415708812260536,0.9892308902376676,0,0,0,0.0,0,56772,26568,0.4679771718452758,391,390,390,2022-08-03 09:30:00,2022-08-03 16:00:00,60.0,0,0.0004195118383651961,QQQ,20220803,1,1
114172,114172,114172,0,False,62169,250,250,250,975,960,870,6557,670462.0,75760.0,6132,661887.0,6463,669761.0,6062,661296.0,94,701.0,0.9989544523030388,0.9863288299709753,0.9351837730669513,0.9872103116955174,0,0,0,0.0,0,72708,34292,0.47163998459591794,391,390,390,2022-08-05 09:30:00,2022-08-05 16:00:00,60.0,0,0.0,QQQ,20220805,0,0
101660,101660,101660,0,False,46529,250,250,250,975,960,870,5615,710998.0,69442.0,5312,696143.0,5535,710470.0,5242,695635.0,80,528.0,0.9992573818773048,0.9783923442822624,0.9460373998219056,0.9791068329306131,0,0,0,0.0,0,64740,30305,0.4681031819586036,391,390,390,2022-08-08 09:30:00,2022-08-08 16:00:00,60.0,0,0.0004568927414278687,QQQ,20220808,7,7
101660,101660,101660,0,False,52003,250,250,250,975,960,870,5700,490328.0,50999.0,5325,483016.0,5566,489081.0,5210,481918.0,134,1247.0,0.9974568044247932,0.9828482158881402,0.9342105263157895,0.9850875332430536,0,0,0,0.0,0,64740,30878,0.47695396972505405,391,390,390,2022-08-10 09:30:00,2022-08-10 16:00:00,60.0,0,0.0,QQQ,20220810,0,0
114172,114172,114172,0,False,58259,250,250,250,975,960,870,5806,459535.0,50109.0,5345,448613.0,5696,458696.0,5261,447978.0,110,839.0,0.9981742413526717,0.9748506642584351,0.920599379951774,0.9762324958925871,0,0,0,0.0,0,72708,36453,0.5013616108268691,391,390,390,2022-08-12 09:30:00,2022-08-12 16:00:00,60.0,0,0.0002972883588363606,QQQ,20220812,3,3
100878,100878,100878,0,False,44574,250,250,250,975,960,870,4995,391306.0,45429.0,4685,381035.0,4921,390771.0,4619,380584.0,74,535.0,0.9986327835504695,0.9725994490245485,0.9379379379379379,0.973751999713779,0,0,0,0.0,0,64242,30847,0.4801687369633573,391,390,390,2022-08-15 09:30:00,2022-08-15 16:00:00,60.0,0,0.0004042428219368793,QQQ,20220815,6,6
100096,100096,100096,0,False,52003,250,250,250,975,960,870,5797,519600.0,57793.0,5521,503499.0,5687,518520.0,5420,502463.0,110,1080.0,0.9979214780600462,0.9670188606620477,0.9523891668104192,0.969012702078522,0,0,0,0.0,0,63744,29876,0.46868724899598396,391,390,390,2022-08-17 09:30:00,2022-08-17 16:00:00,60.0,0,0.0001861679270591657,QQQ,20220817,1,1
154836,154836,154836,0,False,81719,250,250,250,975,960,870,7001,568090.0,54468.0,6375,548398.0,6867,567086.0,6276,547877.0,134,1004.0,0.998232674400183,0.9644193701702195,0.9105842022568205,0.9653364783749054,0,0,0,0.0,0,98604,47877,0.48554825362054277,391,390,390,2022-08-19 09:30:00,2022-08-19 16:00:00,60.0,0,0.0003406402232744832,QQQ,20220819,2,2
96186,96186,96186,0,False,46920,250,250,250,975,960,870,5389,389202.0,47162.0,5046,379694.0,5293,388331.0,4968,378884.0,96,871.0,0.9977620875535069,0.9734893448646205,0.936351827797365,0.9755705263590629,0,0,0,0.0,0,61254,29347,0.47910340549188624,391,390,390,2022-08-22 09:30:00,2022-08-22 16:00:00,60.0,0,0.0004637636355658736,QQQ,20220822,7,7
